ID,NodeName,Volume,Group,NodeSize
0,1 Venezuela,214,Top 5 Countries of Cocoa Bean Origin,21.4
1,2 Ecuador,193,Top 5 Countries of Cocoa Bean Origin,19.3
2,3 Dominican Republic,166,Top 5 Countries of Cocoa Bean Origin,16.6
3,4 Peru,165,Top 5 Countries of Cocoa Bean Origin,16.5
4,5 Madagascar,145,Top 5 Countries of Cocoa Bean Origin,14.5
5,1 U.S.A. (3.15),764,Top 5 Countries of the Chocolate Bar Number,76.4
6,2 France (3.25),156,Top 5 Countries of the Chocolate Bar Number,15.6
7,3 Canada (3.32),125,Top 5 Countries of the Chocolate Bar Number,12.5
8,4 U.K. (3.05),96,Top 5 Countries of the Chocolate Bar Number,9.6
9,5 Italy (3.33),63,Top 5 Countries of the Chocolate Bar Number,6.3
